,line,emsg
272,"  model.fit(X,y)","ValueError: Expected 2D array, got 1D array instead:
array=[ 1  2  2  3  3  3  5  5  5  5  5  5  5  4  4  4  4  4  4  4  4  4  4  4
  4  4  4  4  4  4  4  4  4  4  4  5  5  5  5  3  3  3  3  3  3  3  3  3
  3  3  4  4  4  4  3  5  2  5  8  8  8  8  8  8  3  4  4  4  4  4  4  4
  4  4  5  5  5  5  5  5  4  4  4  4  3  3  3  3  2  2  2  2  4  4  4  2
  2  2  2  2  5  5  5  5  5  5  5  5  5  5  5  6  6  6  6  6  6  6  6  6
  2  2  2  2  2  2  2  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  5  5
  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5
  5  5  5  5  5  5  5  5  5  5  5  3  3  3  3  3  3  3  3  5  5  5  5  5
  5  1  1  4  2  2  2  3  3  2  2  4  4  4  4  4  4  4  4  4  4  4  4  4
  5  5  5  5  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  8  6  6
  6  6  6  6  7  7  7  7  7  7  7  7  7  7  1  1  3  5  5  5  5  5  5  5
  5  5  5  5  5  3  3  3  3  3  4  4  4  4  4  5  5  5  5  1  1  1  1  6
  6  6  4  4  4  4  4  4  4  4  5  5  5  7  7  7  7  7  7  7  4  4  4  4
  4  4  4  4  4  4  4  4  5  5  5  5  5  5  5  5  4  4  4  1  1  5  5  5
  5  5  5  5  5  1  1  5  5  3  3  4  4  1  1  4  4  5  4  4 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
 24 24 24 24 24 24 24 24  4  4  4  4  4  6  6  6  6  6  6  6  6  1  1  1
  1  1].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
273,"X = df[['犯罪', '工場']]  # 説明変数","KeyError: ""['犯罪'] not in index"""
274,N=ansgd,NameError: name 'ansgd' is not defined
275,"X=df[['低所得率','通年']] ","KeyError: ""['通年'] not in index"""
276,,TypeError: append() takes exactly one argument (2 given)
277,"    X = df[[col[a],col[b]]]",IndexError: index 12 is out of bounds for axis 0 with size 12
278,"      print(max('決定係数(R2):', r2, '(',column1,', ', column2,', ', column3,')' ))",TypeError: '>' not supported between instances of 'numpy.ndarray' and 'str'
279,"      r2 = max.r2_score(y, y_pred)",AttributeError: 'builtin_function_or_method' object has no attribute 'r2_score'
280,if N<10:,TypeError: '<' not supported between instances of 'str' and 'int'
281,  X = df[[col]],"KeyError: ""None of [Index(['住'], dtype='object')] are in the [columns]"""
282,"X = df[['部屋巣', '低所得率']]  # 説明変数　二つ選ぶ","KeyError: ""['部屋巣'] not in index"""
283,S[0]=S[2],TypeError: 'str' object does not support item assignment
284,prrint(X.shape),NameError: name 'prrint' is not defined
285,X=df[['学校']],"KeyError: ""None of [Index(['学校'], dtype='object')] are in the [columns]"""
286,"  model.fit(X[1][2], y)","ValueError: Expected 2D array, got scalar array instead:
array=0.02729.
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
287,,ValueError: Cannot take a larger sample than population when 'replace=False'
288,"ta=int('a',n)",ValueError: invalid literal for int() with base 2: 'a'
289,  a=S[-int(n):],NameError: name 'n' is not defined
290,X_train_c1_numa_p_05 = X_train_numa_p.sample(len(X_train_c1_any_p)*0.5),ValueError: Only integers accepted as `n` values
291,"N=S.remove(0,2)",AttributeError: 'str' object has no attribute 'remove'
292,y_pred = model.predict(X_test),"ValueError: X has 9 features, but LinearRegression is expecting 10 features as input."
293,r=x*(4-N),TypeError: unsupported operand type(s) for -: 'int' and 'str'
294,get_ipython().magic('atcoder https://atcoder.jp/contests/abc178/tasks/abc178_b'),"UsageError: Line magic function `%atcoder` not found (But cell magic `%%atcoder` exists, did you mean that instead?)."
295,"X_train = X_train_c1_a_05[[ 'p', 'r', 'i', 'n', 't', 'Shift', '(' ]]","KeyError: ""None of [Index(['p', 'r', 'i', 'n', 't', 'Shift', '('], dtype='object')] are in the [columns]"""
296,"ta=int(a,n)",TypeError: int() can't convert non-string with explicit base
297,"model.fit(X_train, y_train)",ValueError: Unknown label type: 'continuous-multioutput'
298,"print('正解率(test)', model.score(X_test, y_test_c1_p))",NameError: name 'X_test' is not defined
299,y_test = X_test_21_p['target'],NameError: name 'X_test_21_p' is not defined
300,N = float().input(),AttributeError: 'float' object has no attribute 'input'
301,y_pred = model.predict(X_test),"ValueError: X has 10 features, but LinearRegression is expecting 11 features as input."
302,"sns.kdeplot(df.groupby('アルコール').get_group('1')['G3'], shade = True, label = '1')",KeyError: '1'
303,N=int(input()),ValueError: invalid literal for int() with base 10: '99.9'
304,print((N+1)/2),"TypeError: can only concatenate list (not ""int"") to list"
305,s_bool = df['アルコール'] >= 4 and df['G3'] >= 14,"ValueError: The truth value of a Series is ambiguous. Use a.empty, a.bool(), a.item(), a.any() or a.all()."
306,add,NameError: name 'add' is not defined
307,"A,B = int(input())",ValueError: invalid literal for int() with base 10: '-13 3'
308,N=int(input()),ValueError: invalid literal for int() with base 10: 'B'
309,"sns.kdeplot(df.groupby('アルコール').get_group('2')['G3'], shade = True, label = '2')",KeyError: '2'
310,if X / 100 == 0:,TypeError: unsupported operand type(s) for /: 'str' and 'int'
311,X=ceil(N/2),NameError: name 'ceil' is not defined
312,"r=s.remove(0,2)",TypeError: remove() takes exactly one argument (2 given)
313,k=int(print()),"TypeError: int() argument must be a string, a bytes-like object or a number, not 'NoneType'"
314,"t =str.S({'1':'9', '9':'1'})",AttributeError: type object 'str' has no attribute 'S'
315,df.corr('住所')['通学時間'],"ValueError: method must be either 'pearson', 'spearman', 'kendall', or a callable, '住所' was supplied"
316,pred_sub = y_train - pred,NameError: name 'y_train' is not defined
317,y_train_pred= model.predict(X),NameError: name 'model' is not defined
318,"X = df_train[['year', 'month', 'day', 'week', 'soldout', 'kcal', 'payday', 'weather', 'remarks','temperature',""curry""]]","KeyError: ""['curry'] not in index"""
319,y_train_pred= randomforest.predict(X),NotFittedError: This RandomForestRegressor instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
320,df.groupby('家族「')['G3'].describe() ,KeyError: '家族「'
321,y_last_pred=y_pred_L + y_pred_sub,"ValueError: operands could not be broadcast together with shapes (165,) (42,) "
322,"plt.boxplot(x=df['父職業'],y=df['G3'],order=order_by)",TypeError: boxplot() got an unexpected keyword argument 'y'
323,y_train_pred= mode_L.predict(X),NameError: name 'mode_L' is not defined
324,df_orig.info(),NameError: name 'df_orig' is not defined
325,y_pred = model.predict(X_test),"ValueError: X has 10 features, but LinearRegression is expecting 9 features as input."
326,"sns.boxplot(x=df['父職業'],y=['G3'],order=order_by)",TypeError: Neither the `x` nor `y` variable appears to be numeric.
327,"print('正解率(train)：', model_M.score(X, y))","ValueError: X has 12 features, but MLPClassifier is expecting 9 features as input."
328,"model.fit(X, y)",ValueError: could not convert string to float: '特になし'
329,"A,B=map(int,input().split())",ValueError: invalid literal for int() with base 10: '1t'
330,"print('正解率(test)', model.score(X_test, y_test))",TypeError: Labels in y_true and y_pred should be of the same type. Got y_true=[0 1] and y_pred=['0' '1']. Make sure that the predictions provided by the classifier coincides with the true labels.
331,printlen((data1_c2)),NameError: name 'printlen' is not defined
332,"X = df_train[['year', 'month', 'day', 'week', 'soldout', 'kcal', 'event', 'payday', 'weather','h_l']]","KeyError: ""['h_l'] not in index"""
333,"print(recall_score(y_test, y_pred))","ValueError: pos_label=1 is not a valid label. It should be one of ['0', '1']"
334,"sns.kdeplot(df.groupby('学習時間').get_group(1)['G3'], shade = True, color = blue)",NameError: name 'blue' is not defined
335,df.unique(),AttributeError: 'DataFrame' object has no attribute 'unique'
336,"             df[""y""][df[""remarks""]==df.remarks.unique()[2]],",IndexError: index 2 is out of bounds for axis 0 with size 2
337,print((B-A)/(A-1))+1,TypeError: unsupported operand type(s) for +: 'NoneType' and 'int'
338,"sns.boxplot(x=df['通学時間'], y=df['G3'], order=order_by)",NameError: name 'order_by' is not defined
339,"print('正解率(train)：', r2_score(X, y))",ValueError: y_true and y_pred have different number of output (12!=1)
340,"model.fit(X, y)","ValueError: Expected 2D array, got 1D array instead:
array=[6.575 6.421 7.185 6.998 7.147 6.43  6.012 6.172 5.631 6.004 6.377 6.009
 5.889 5.949 6.096 5.834 5.935 5.99  5.456 5.727 5.57  5.965 6.142 5.813
 5.924 5.599 5.813 6.047 6.495 6.674 5.713 6.072 5.95  5.701 6.096 5.933
 5.841 5.85  5.966 6.595 7.024 6.77  6.169 6.211 6.069 5.682 5.786 6.03
 5.399 5.602 5.963 6.115 6.511 5.998 5.888 7.249 6.383 6.816 6.145 5.927
 5.741 5.966 6.456 6.762 7.104 6.29  5.787 5.878 5.594 5.885 6.417 5.961
 6.065 6.245 6.273 6.286 6.279 6.14  6.232 5.874 6.727 6.619 6.302 6.167
 6.389 6.63  6.015 6.121 7.007 7.079 6.417 6.405 6.442 6.211 6.249 6.625
 6.163 8.069 7.82  7.416 6.727 6.781 6.405 6.137 6.167 5.851 5.836 6.127
 6.474 6.229 6.195 6.715 5.913 6.092 6.254 5.928 6.176 6.021 5.872 5.731
 5.87  6.004 5.961 5.856 5.879 5.986 5.613 5.693 6.431 5.637 6.458 6.326
 6.372 5.822 5.757 6.335 5.942 6.454 5.857 6.151 6.174 5.019 5.403 5.468
 4.903 6.13  5.628 4.926 5.186 5.597 6.122 5.404 5.012 5.709 6.129 6.152
 5.272 6.943 6.066 6.51  6.25  7.489 7.802 8.375 5.854 6.101 7.929 5.877
 6.319 6.402 5.875 5.88  5.572 6.416 5.859 6.546 6.02  6.315 6.86  6.98
 7.765 6.144 7.155 6.563 5.604 6.153 7.831 6.782 6.556 7.185 6.951 6.739
 7.178 6.8   6.604 7.875 7.287 7.107 7.274 6.975 7.135 6.162 7.61  7.853
 8.034 5.891 6.326 5.783 6.064 5.344 5.96  5.404 5.807 6.375 5.412 6.182
 5.888 6.642 5.951 6.373 6.951 6.164 6.879 6.618 8.266 8.725 8.04  7.163
 7.686 6.552 5.981 7.412 8.337 8.247 6.726 6.086 6.631 7.358 6.481 6.606
 6.897 6.095 6.358 6.393 5.593 5.605 6.108 6.226 6.433 6.718 6.487 6.438
 6.957 8.259 6.108 5.876 7.454 8.704 7.333 6.842 7.203 7.52  8.398 7.327
 7.206 5.56  7.014 8.297 7.47  5.92  5.856 6.24  6.538 7.691 6.758 6.854
 7.267 6.826 6.482 6.812 7.82  6.968 7.645 7.923 7.088 6.453 6.23  6.209
 6.315 6.565 6.861 7.148 6.63  6.127 6.009 6.678 6.549 5.79  6.345 7.041
 6.871 6.59  6.495 6.982 7.236 6.616 7.42  6.849 6.635 5.972 4.973 6.122
 6.023 6.266 6.567 5.705 5.914 5.782 6.382 6.113 6.426 6.376 6.041 5.708
 6.415 6.431 6.312 6.083 5.868 6.333 6.144 5.706 6.031 6.316 6.31  6.037
 5.869 5.895 6.059 5.985 5.968 7.241 6.54  6.696 6.874 6.014 5.898 6.516
 6.635 6.939 6.49  6.579 5.884 6.728 5.663 5.936 6.212 6.395 6.127 6.112
 6.398 6.251 5.362 5.803 8.78  3.561 4.963 3.863 4.97  6.683 7.016 6.216
 5.875 4.906 4.138 7.313 6.649 6.794 6.38  6.223 6.968 6.545 5.536 5.52
 4.368 5.277 4.652 5.    4.88  5.39  5.713 6.051 5.036 6.193 5.887 6.471
 6.405 5.747 5.453 5.852 5.987 6.343 6.404 5.349 5.531 5.683 4.138 5.608
 5.617 6.852 5.757 6.657 4.628 5.155 4.519 6.434 6.782 5.304 5.957 6.824
 6.411 6.006 5.648 6.103 5.565 5.896 5.837 6.202 6.193 6.38  6.348 6.833
 6.425 6.436 6.208 6.629 6.461 6.152 5.935 5.627 5.818 6.406 6.219 6.485
 5.854 6.459 6.341 6.251 6.185 6.417 6.749 6.655 6.297 7.393 6.728 6.525
 5.976 5.936 6.301 6.081 6.701 6.376 6.317 6.513 6.209 5.759 5.952 6.003
 5.926 5.713 6.167 6.229 6.437 6.98  5.427 6.162 6.484 5.304 6.185 6.229
 6.242 6.75  7.061 5.762 5.871 6.312 6.114 5.905 5.454 5.414 5.093 5.983
 5.983 5.707 5.926 5.67  5.39  5.794 6.019 5.569 6.027 6.593 6.12  6.976
 6.794 6.03 ].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
341,n = int(input()),ValueError: invalid literal for int() with base 10: '2 3'
342,"model.fit(X_train, y_train)","ValueError: Input contains NaN, infinity or a value too large for dtype('float32')."
343,np.where( np.isnan(y_train) ),"TypeError: ufunc 'isnan' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
344,get_ipython().magic('kogi https://atcoder.jp/contests/abc226/tasks/abc226_c'),UsageError: Line magic function `%kogi` not found.
345,"df = pd,read_csv('boston.csv')",NameError: name 'read_csv' is not defined
346,"plt.subplot(2,1,3)","ValueError: num must be 1 <= num <= 2, not 3"
347,y_pred = model.predict(X_test),AttributeError: 'RandomForestClassifier' object has no attribute 'n_classes_'
348,"sns.kdeplot(df.groupby('母職業').get_group('ぞの他')['G3'], shade = True, label = 'ぞの他')",KeyError: 'ぞの他'
349,"sns.boxplot(x=df['成績'], y=df['G3'], order=order_by)",KeyError: '成績'
350,"sns.boxplot(x=df['友人と遊ぶ頻度'], y=df['G3'])",KeyError: '友人と遊ぶ頻度'
351,describe(X_train_pr_name),NameError: name 'describe' is not defined
352,df_uid_pr,NameError: name 'df_uid_pr' is not defined
353,"(S,T,U,V)=str(s,t,u,v)",TypeError: str() takes at most 3 arguments (4 given)
354,"X_train_pr_name, X_test_pr_name = train_test_split(df_pr_name,test_size = 0.3)",NameError: name 'df_pr_name' is not defined
355,X_train_pr_name = X_train_pr_name.sample(int(len(X_train_pr_any)*raito)),NameError: name 'X_train_pr_name' is not defined
356,X_train_pr_any = pd.DataFrame(df_train_pr_any),NameError: name 'df_train_pr_any' is not defined
357,"sns.kdeplot(df.groupby('性別').get_group('男性')['G3'], shade = True, label = '男子学生')",KeyError: '男性'
358,"X_test_pr.loc[X_train_abc[""uid""] == u_id,'target'] = ""1""",ValueError: cannot reindex from a duplicate axis
359,df_uid_mean1_c1,NameError: name 'df_uid_mean1_c1' is not defined
360,"sns.kdeplot(df.groupby('学習時間').get_group('0')['G3'], shade = True, label = '1')",KeyError: '0'
361,X_train_pr_name = pd.DataFrame(df_train_pr_name),NameError: name 'df_train_pr_name' is not defined
362,"X_train_c1_any_p, X_test_c1_any_p= train_test_split(X_c1_any_p, test_size=0.3, random_state=0)",NameError: name 'X_c1_any_p' is not defined
363,"model.fit(X_train, y_train)","ValueError: Input contains NaN, infinity or a value too large for dtype('float64')."
364,    for _ in range(num):,TypeError: 'float' object cannot be interpreted as an integer
365,"sns.kdeplot(df.groupby('パリピ'),shade = True, label = '女子学生')","ValueError: If using all scalar values, you must pass an index"
366,prunt(1+2),NameError: name 'prunt' is not defined
367,model.feature_importance_,AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_importance_'
368,from sklearn.ensemble import MLPRegressor,ImportError: cannot import name 'MLPRegressor' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)
369,y_pred = model.predict(X_test),AttributeError: 'PolynomialFeatures' object has no attribute 'predict'
370,"X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.3, random_state=0)","ValueError: Found input variables with inconsistent numbers of samples: [500, 10]"
371,"cross_val_score(モデル, X, y, cv=5, scoring='r2')",NameError: name 'cross_val_score' is not defined
372,    model = GaussianProcessRegressor(max_depth=depth)  # None 制限なし,TypeError: __init__() got an unexpected keyword argument 'max_depth'
373,print(x*y),TypeError: unsupported operand type(s) for *: 'range' and 'range'
374,for S in range:,TypeError: 'type' object is not iterable
375,"plt.scatter(x_pred, y_pred, c='red', alpha=0.3)",NameError: name 'x_pred' is not defined
376,"plot_tree(model, feature_names=X.columns, filled=True)",NotFittedError: This DecisionTreeRegressor instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
377,model = DecisionTreeRegressor(model = DecisionTreeRegressor(max_depth=3)),TypeError: __init__() got an unexpected keyword argument 'model'
378,"plt.barh(X_train.columns[::-1], model.feature_importances_[::-1])",AttributeError: 'DecisionTreeRegressor' object has no attribute 'tree_'
379,"plot_tree(model, feature_names=X.columns, filled=True)",AttributeError: 'LinearRegression' object has no attribute 'tree_'
380,print(np.array(scores).mean()),NameError: name 'np' is not defined
381,"S, T = map(string, input().split())",NameError: name 'string' is not defined
382,"a=sorted(a,key=lambda x: x[m])",TypeError: '<' not supported between instances of 'int' and 'str'
383,model.feauture_importance_,AttributeError: 'DecisionTreeRegressor' object has no attribute 'feauture_importance_'
384,model = GradientBoostingRegressor(random_dtate=0),TypeError: __init__() got an unexpected keyword argument 'random_dtate'
385,df = pd.read_csv('bento_train.csv'),FileNotFoundError: [Errno 2] No such file or directory: 'bento_train.csv'
386,model = DiscriptionLinearRegression(),NameError: name 'DiscriptionLinearRegression' is not defined
387,model = DecisionTreeRegressor(maxdeepth=3),TypeError: __init__() got an unexpected keyword argument 'maxdeepth'
388,"model.fit(X_train, y_train)",AttributeError: 'tuple' object has no attribute 'fit'
389,"model,fit(X_train,y_train)",NameError: name 'fit' is not defined
390,"plt.scatter(y, y_pred, c='red', alpha=0.3)",ValueError: x and y must be the same size
391,      mean_lists.append(mean_list(s1)),TypeError: 'list' object is not callable
392,"model.fit(X_train, y_train)",AttributeError: 'DataFrame' object has no attribute '_validate_data'
393,if B%A == 0:,TypeError: unsupported operand type(s) for %: 'range' and 'range'
394,print(b[b.index(max(c))]),ValueError: 3 is not in list
395,model = DecisionTreeRegressor(),NameError: name 'DecisionTreeRegressor' is not defined
396,"model.fit(X_train, y_train)",ValueError: Number of labels=152 does not match number of samples=354
397,N=int(input()),ValueError: invalid literal for int() with base 10: ''
398,from sklearn.tree import RandomForestRegressor,ImportError: cannot import name 'RandomForestRegressor' from 'sklearn.tree' (/usr/local/lib/python3.7/dist-packages/sklearn/tree/__init__.py)
399,"  s,t=map(int,input().split())",ValueError: invalid literal for int() with base 10: 'tanaka'
400,    if S.islower(c) == 'True':,TypeError: islower() takes no arguments (1 given)
401,  ss.append(chr(a)),AttributeError: 'str' object has no attribute 'append'
402,    Data_list = keys.split(),AttributeError: 'Series' object has no attribute 'split'
403,"print('R2(テスト):', r2_score(y_train, y_pred))","ValueError: Found input variables with inconsistent numbers of samples: [354, 152]"
404,model = DecisionTreeRegressor(maxdepth=3),TypeError: __init__() got an unexpected keyword argument 'maxdepth'
405,"cross_val_score(モデル, X, y, cv=5, scoring='r2')",NameError: name 'モデル' is not defined
406,S=int(input()),ValueError: invalid literal for int() with base 10: 'abc'
407,"print(""MSE: "", mean_squared_error(y_test, y_pred))","ValueError: Found input variables with inconsistent numbers of samples: [152, 506]"
408,y = df['住宅価格'],KeyError: '住宅価格'
409,"get_ipython().run_cell_magic('atcoder', 'https://atcoder.jp/contests/abc214/tasks/abc214_b', 'S, T = map(int, input().split())\ncombs=[]\nfor a in range(10):\n    for b in range(10):\n        for c in range(10):\n            if a+b+c <= S and a*b*c <=T:\n                combs.append((a,b,c))\nprint(len(combs))')",UsageError: Cell magic `%%atcoder` not found.
410,"a,b,c,d=map(int,input().split())","ValueError: not enough values to unpack (expected 4, got 2)"
411,model = DecisionTreerRegression(),NameError: name 'DecisionTreerRegression' is not defined
412,"print(n.translate('1','9').translate('9','1'))",TypeError: translate() takes exactly one argument (2 given)
413,  keys_list(key),TypeError: 'set' object is not callable
414,  if a>ord('Z'):,TypeError: '>' not supported between instances of 'NoneType' and 'int'
415,model = DecisionTreeRegressior(),NameError: name 'DecisionTreeRegressior' is not defined
416,model = PLSRegression(),NameError: name 'PLSRegression' is not defined
417,"print(""MSE: "", mean_squared_error(y, y_pred))","ValueError: Found input variables with inconsistent numbers of samples: [500, 152]"
418,N = int(input),"TypeError: int() argument must be a string, a bytes-like object or a number, not 'function'"
419,"model = BaggingRegressor(base_estimator=SVR(), n_estimators=10)",NameError: name 'SVR' is not defined
420,from sklearn.ensemble import GaussianProcessRegressor,ImportError: cannot import name 'GaussianProcessRegressor' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)
421,model = KNeighborsRegressor(n_neighbors=3),NameError: name 'KNeighborsRegressor' is not defined
422,from sklearn.ensemble import KNeighborsRegressor,ImportError: cannot import name 'KNeighborsRegressor' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)
423,"a,b,c,d=map(int,input().split())",ValueError: invalid literal for int() with base 10: '1]'
424,"a,b,c,d=map(int,input().split())",ValueError: invalid literal for int() with base 10: '--1000000000'
425,"plt.scatter( c='red', alpha=0.3)",TypeError: scatter() missing 2 required positional arguments: 'x' and 'y'
426,  print(int(X)+1),ValueError: invalid literal for int() with base 10: '99.500'
427,model =Pipeline(),TypeError: __init__() missing 1 required positional argument: 'steps'
428,from sklearn.gaussian_process import GaussianBoostingRegressor,ImportError: cannot import name 'GaussianBoostingRegressor' from 'sklearn.gaussian_process' (/usr/local/lib/python3.7/dist-packages/sklearn/gaussian_process/__init__.py)
429,model.feature_inportances_,AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_inportances_'
430,str_list,NameError: name 'str_list' is not defined
431,"model.fit(X_train, y)","ValueError: Found input variables with inconsistent numbers of samples: [354, 500]"
432,"df_uid_pr.columns = [""uid"", ""p"", ""r"", ""i"", ""n"", ""t"", ""Shift"", ""(""]","ValueError: Length mismatch: Expected axis has 11 elements, new values have 8 elements"
433,keys_list(df_key['keys'][0]),KeyError: 0
434,y_pred = model.predict(X_test),NotFittedError: This MLPRegressor instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
435,model = enable_hist_gradient_boosting(),TypeError: 'module' object is not callable
436,ans<=A/B,NameError: name 'ans' is not defined
437,keys_list[0],TypeError: 'set' object is not subscriptable
438,model.feature_importences_,AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_importences_'
439,    ss.append(chr(a)),NameError: name 'ss' is not defined
440,"print('',join(ss))   #リストを文字列に",NameError: name 'join' is not defined
441,model = RandomForestRegressor(max_depth=3),NameError: name 'RandomForestRegressor' is not defined
442,model.feature_impotences_,AttributeError: 'DecisionTreeRegressor' object has no attribute 'feature_impotences_'
443,model = PolynomialFeatures(max_depth=4),NameError: name 'PolynomialFeatures' is not defined
444,"model =Pipeline([('poly', PolynomialFeatures(degree=5)),('linear', LinearRegression())])",NameError: name 'Pipeline' is not defined
445,"model.fit(X, y)",ValueError: could not convert string to float: '2013-11-18'
446,    a=ord(c)+N,NameError: name 'c' is not defined
447,"plot_tree(model, feature_names=X.columns, filled=True)",AttributeError: 'RandomForestRegressor' object has no attribute 'tree_'
448,  ptint(0),NameError: name 'ptint' is not defined
449,"print(n.replace('1', 'X').replace('9', '1').replace('X', '9'))",AttributeError: 'list' object has no attribute 'replace'
450,model.feature_importances_,AttributeError: 'LinearRegression' object has no attribute 'feature_importances_'
451,"from sklearn.neighbors import SVR, LinearSVR",ImportError: cannot import name 'SVR' from 'sklearn.neighbors' (/usr/local/lib/python3.7/dist-packages/sklearn/neighbors/__init__.py)
452,for key in Series:,NameError: name 'Series' is not defined
453,  ss.append(chr(a)) # リストに追加,ValueError: chr() arg not in range(0x110000)
454,"for column, importance in zip(X_train.columns, model.RandomForestRegressor):",AttributeError: 'RandomForestRegressor' object has no attribute 'RandomForestRegressor'
455,from janome.tokenizer import Tokenizer,ModuleNotFoundError: No module named 'janome'
456,print(no.array(scores).mean()),NameError: name 'no' is not defined
457,N=NN % 10,NameError: name 'NN' is not defined
458,print(len(set(a))),TypeError: unhashable type: 'list'
459,"  print(S[0,K]+'...')",TypeError: string indices must be integers
460,"S, T = map(int, input().split())",ValueError: invalid literal for int() with base 10: 'oder'
461,if K >= S:,TypeError: '>=' not supported between instances of 'int' and 'str'
462,X=int(input()),ValueError: invalid literal for int() with base 10: '80 94'
463,X=int(input()),ValueError: invalid literal for int() with base 10: '3 7'
464,k.append=S[1],AttributeError: 'list' object attribute 'append' is read-only
465,"l=[int.input().split("" "") for i in range(x)]",AttributeError: type object 'int' has no attribute 'input'
466,"get_ipython().run_cell_magic('', 'kogi', ""\n!wget https://kkuramitsu.github.io/lec/data/bento.csv\ndf = pd.read_csv('bento_train.csv')"")",UsageError: Cell magic `%%` not found.
467,y = df['販売数'],KeyError: '販売数'
468,"print('R2', r2_score(y, y_pred))","ValueError: Found input variables with inconsistent numbers of samples: [506, 152]"
469,data_sep(key),NameError: name 'key' is not defined
470,from sklearn.gaussian_process import PassiveAggressiveRegressor,ImportError: cannot import name 'PassiveAggressiveRegressor' from 'sklearn.gaussian_process' (/usr/local/lib/python3.7/dist-packages/sklearn/gaussian_process/__init__.py)
471,"plt.scatter( y.y_pred,c='red', alpha=0.3)",AttributeError: 'Series' object has no attribute 'y_pred'
472,"print(""MSE: "", mean_squared_error(_test, y_pred))",NameError: name '_test' is not defined
473,N[-1]=a,TypeError: 'int' object does not support item assignment
474,    ss.apend(chr(a)) #リストに追加,AttributeError: 'list' object has no attribute 'apend'
475,print(b[b.index(intmax(c))]),NameError: name 'intmax' is not defined
476,"print(int.replace('1', '9').replace('9', '1'))",AttributeError: type object 'int' has no attribute 'replace'
477,df_uid_pr.columns = neko,"TypeError: Index(...) must be called with a collection of some kind, None was passed"
478,A1=repeat(A*a),TypeError: repeat() missing 1 required positional argument: 'length'
479,model = DecisionTreeRegression(),NameError: name 'DecisionTreeRegression' is not defined
480,model = SVR(random_state=0),TypeError: __init__() got an unexpected keyword argument 'random_state'
481,GPC,NameError: name 'GPC' is not defined
482,"plt.barh(y_test,y_pred,c='red',alpha=0.3)",AttributeError: 'Rectangle' object has no property 'c'
483,"plt.barh(X_train.columns[:-1], model.DecisionTreeRegressor)",AttributeError: 'DecisionTreeRegressor' object has no attribute 'DecisionTreeRegressor'
484,from sklearn.gaussian_process import PolynomialFeatures,ImportError: cannot import name 'PolynomialFeatures' from 'sklearn.gaussian_process' (/usr/local/lib/python3.7/dist-packages/sklearn/gaussian_process/__init__.py)
485,model.future_importances_,AttributeError: 'DecisionTreeRegressor' object has no attribute 'future_importances_'
486,,ValueError: shape mismatch: objects cannot be broadcast to a single shape
487,"a,b,c,d=map(float(),input().split())",TypeError: 'float' object is not callable
488,"df_uid_pr.columns = [""uid"", 'a', 'b', 'c', 'd', 'e', 'f', 'g','h','i','j']","ValueError: Length mismatch: Expected axis has 8 elements, new values have 11 elements"
489,"  s,t=map(srt,input().split())",NameError: name 'srt' is not defined
490,"get_ipython().run_cell_magic('atcoder\u3000https://atcoder.jp/contests/abc224/tasks/abc224_a', '', ""S=str(input())\nif S[-1] and S[-2]=='er':\n  print('er')\nelif S[-1] and S[-2] and S[-3]=='ist':\n  print('ist')"")",UsageError: Cell magic `%%atcoder　https://atcoder.jp/contests/abc224/tasks/abc224_a` not found.
491,from sklearn.ensemble import Pipeline,ImportError: cannot import name 'Pipeline' from 'sklearn.ensemble' (/usr/local/lib/python3.7/dist-packages/sklearn/ensemble/__init__.py)
492,model.featrue_importances_,AttributeError: 'DecisionTreeRegressor' object has no attribute 'featrue_importances_'
